School,Email,Region,City,Phone,Website,Source,Notes
Montessori-Kinderhaus Inntal,info@montessori-inntal.de,Bayern,Brannenburg,08034-90980970,http://www.montessori-inntal.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Schule Traunstein,buero@monte-ts.de,Bayern,Traunstein,0861-2097111,http://www.montessori-traunstein.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Schule Füssen,info@montessori-fuessen.de,Bayern,Füssen,08362-9299028,http://www.montessori-fuessen.de,LV Bayern (montessoribayern.de),Montessori-Schulen 1-4
Montessori-Kinderhaus Schwangau-Horn,info@montessori-schwangau.de,Bayern,Schwangau-Horn,08362-8712,http://www.montessori-schwangau.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Kinderhaus Momo,kinderhaus@montessori-chiemgau.de,Bayern,Grassau,08641-6927105,http://www.montessori-chiemgau.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Schule Grassau,kontakt@montessori-chiemgau.de,Bayern,Grassau,08641-696126,http://www.montessori-chiemgau.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Schule Sonthofen,schule@montessori-sonthofen.de,Bayern,Sonthofen,08321-6076222,http://www.montessori-sonthofen.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Kinderhaus Oberstaufen,kindergarten@montessori-allgaeu.de,Bayern,Oberstaufen / Kalzhofen,08386-939210,http://www.montessori-allgaeu.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Schule Allgäu Oberstaufen,info@montessori-allgaeu.de,Bayern,Oberstaufen / Kalzhofen,08386-939210,http://www.montessori-allgaeu.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Schule für ganzheitliches Lernen,info@montessori-bgl.de,Bayern,Freilassing,08654-7701870,http://www.montessori-bgl.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Freie Schule Lindau,office@freieschulelindau.de,Bayern,Lindau im Bodensee,08382-277694-0,http://www.freieschulelindau.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Inklusiver Montessori-Kindergarten,leitung@montessori-kiga-muenster.de,Nordrhein-Westfalen,Münster,0251 / 234591,http://www.montessori-kiga-muenster.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori-Kinderhaus,badsalzuflen@montessori-lippe.de,Nordrhein-Westfalen,Bad Salzuflen,05222-82460,https://www.montessori-badsalzuflen.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Kinderhaus und Familienzentrum Stessen,NOT_FOUND,Nordrhein-Westfalen,Jüchen,02165-9154050,https://montessori-kinderhaus-familienzentrum.juechen.de/,LV NRW (montessori-landesverband-nrw.de),Kinderhaus; no email listed on LV NRW page
Montessori Kinderhaus Kleene Dörper e.V.,info@kleenedoerper.de,Nordrhein-Westfalen,Wuppertal,0202 / 4781111,http://www.kleenedoerper.de/,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Maria-Montessori-Haus -Familienzentrum NRW: Kinderhaus und LebensWerkstatt,montessori@skf-mg.de,Nordrhein-Westfalen,/ 833328,,http://www.caritas-mg.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Kinderhaus Brackwede,brackwede@montessori-bielefeld.de,Nordrhein-Westfalen,Bielefeld,0521 75 98 45-20,http://www.montessori-bielefeld.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Kinderhaus Heepen,heepen@montessori-bielefeld.de,Nordrhein-Westfalen,Bielefeld,0521 75 98 45-40,http://www.montessori-bielefeld.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Kinderhaus Gellershagen,gellershagen@montessori-bielefeld.de,Nordrhein-Westfalen,Bielefeld,0521 75 98 45-50,,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Zentrum für Körperbehinderte e.V.,info@zfk-mg.de,Nordrhein-Westfalen,/ 49521-0,,http://www.zfk-mg.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Kinderhaus Wuppertal e.V.,kinderhaus@montessori-wuppertal.de,Nordrhein-Westfalen,Wuppertal,0202 / 318188,http://www.montessori-wuppertal.de/moki,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Kiga Mettmann,mail@montessori-kiga.de,Nordrhein-Westfalen,Mettmann,,https://www.montessori-kiga.de/,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Kinderhaus e.V.,montessori@kinderhausbocholt.de,Nordrhein-Westfalen,/ 16488,,http://www.kinderhausbocholt.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Integrative Kindertagespflege „Die Wasserflöhe“,mail@u3-kita-wasserfloehe.de,Nordrhein-Westfalen,Duisburg,0203 / 39227870,https://www.u3-kita-wasserfloehe.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori-Kinderhaus Borken,kinderhaus@montessori-borken.de,Nordrhein-Westfalen,– 6 23 05,,https://montessori-borken.de/,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Inklusives Montessori Kinderhaus Kleve / Reichswalde e.V.,reichswalde@kinderhaus-kleve.de,Nordrhein-Westfalen,/ 4 88 37,,,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori- Kinderhaus St. Hubertus Pfarrei St. Christophorus,info@kinderhaus-montessori.de,Nordrhein-Westfalen,/ 561549,,http://www.kinderhaus-montessori.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori-Kinderhaus St. Clemens,kita.clemens-krefeld@bistum-aachen.de,Nordrhein-Westfalen,Krefeld,02151. 30 09 49,https://clemens-krefeld.kita-horizonte.de/,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori-Kinderhaus St. Stephan Familienzentrum,kita.stephan-krefeld@bistum-aachen.de,Nordrhein-Westfalen,2 44 90,,,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori-Kinderhaus Coesfeld,kontakt@moki-coesfeld.de,Nordrhein-Westfalen,Coesfeld,+49 176 72034975,http://www.moki-coesfeld.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Katholische Montessori KdS Engelskirchen,familienzentrum-hardt@engels-kirchen.de,Nordrhein-Westfalen,3100,,,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Kinderhaus St. Nikolaus,kinderhaus-duerscheid@t-online.de,Nordrhein-Westfalen,/ 2586,,http://www.montessori-kinderhaus-duerscheid.de/Joomla/index.php/component/content/category/78-kinderhaus,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Regenbogen Stolberg,info@montessori-stolberg.de,Nordrhein-Westfalen,/ 864539,,http://www.montessori-stolberg.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Regenbogen Bonn,leitung@aktion-regenbogen-bonn.de,Nordrhein-Westfalen,Bonn,0228 / 460637,http://www.aktion-regenbogen-bonn.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Kindergarten Bonn,montessori-kindergarten@bonn.de,Nordrhein-Westfalen,Bonn,0228 / 665375,,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Kinderhaus Lohmar,kinderhaus@ev-kirche-wahlscheid.de,Nordrhein-Westfalen,/ 2994,,http://www.ev-familienzentrum-lohmar.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Kinderhaus Welschen Ennest,manuel.pahl@montessori-kinderhaus-we.de,Nordrhein-Westfalen,/ 7293,,http://www.montessori-kinderhaus-we.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori Kinderhaus Troisdorf,leitung@montessori-troisdorf.de,Nordrhein-Westfalen,/ 404371,,http://www.montessori-troisdorf.de,LV NRW (montessori-landesverband-nrw.de),Kinderhaus
Montessori-Kinderhaus Unna,NOT_FOUND,Nordrhein-Westfalen,/ 239514,,http://www.montessori-unna.net/,LV NRW (montessori-landesverband-nrw.de),Kinderhaus; no email listed on LV NRW page
Brüder Grimm-Schule,bruedergrimm@meerbusch.de,Nordrhein-Westfalen,/ 754900,,https://bruedergrimm-schule-meerbusch.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
GGS Brüder-Grimm-Schule,103160@schule.nrw.de,Nordrhein-Westfalen,/ 802895,,https://www.bgskrefeld.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Montessori-Schule Münster,info@montessori-muenster.de,Nordrhein-Westfalen,,,,LV NRW (montessori-landesverband-nrw.de),Grundschule
Montessori-Grundschule Haldem,Grundschule_Haldem@t-online.de,Nordrhein-Westfalen,/ 413,,https://www.montessori-grundschule-haldem.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Montessori-Grundschule Lindenstraße,mg.lindenstr@duesseldorf.de,Nordrhein-Westfalen,Düsseldorf,0211 / 6802122,https://www.montessori-gs-lindenstrasse.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Eduard-Dietrich-Schule,schule@eduard-dietrich-schule.ratingen.de,Nordrhein-Westfalen,/ 5504432,,https://www.eduard-dietrich-schule.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Friedensschule,friedensschule@schulen-dormagen.de,Nordrhein-Westfalen,/ 93245,,https://friedensschule.schulen-dormagen.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
St. Suitbertus-Schule,106483@schule.nrw.de,Nordrhein-Westfalen,/ 962060,,https://www.suitbertusheiligenhaus.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
GGS Adolf Clarenbach Teilstandort Goldenberg,ggs-adolf-clarenbach@remscheid.de,Nordrhein-Westfalen,/ 28074,,http://www.a-clarenbach.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Maria-Montessori-Schule,sekretariat@montessori-dorsten.de,Nordrhein-Westfalen,/ 2022870,,https://montessori-dorsten.org,LV NRW (montessori-landesverband-nrw.de),Grundschule
Friedensschule Dormagen Astrid Lindgren-Haus (Gohr),friedensschule-gohr@schulen-dormagen.de,Nordrhein-Westfalen,/ 7009,,https://friedensschule.schulen-dormagen.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Montessori-Grundschule Borken,grundschule@montessori-borken.de,Nordrhein-Westfalen,/ 61535,,https://montessori-borken.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Maria Montessori Grundschule,schule@montessori-coe.de,Nordrhein-Westfalen,/ 8012837,,https://www.montessori-coe.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Bischöfliche Maria Montessori Grundschule,Bisch-GS.M-Montessori@bistum-aachen.de,Nordrhein-Westfalen,/ 564711,,https://bmmgrund.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
GGS Waldschule Leverkusen,207@schulen-lev.de,Nordrhein-Westfalen,Leverkusen,0214 / 56564,https://www.waldschule-leverkusen.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Josefschule Krefeld,josefschule@schulen.krefeld.de,Nordrhein-Westfalen,/ 772065,,https://josefschulekrefeld.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
KGS Dönhoffstraße Städt.-katholische Grundschule,kgs.doenhoffstrasse@stadt.leverkusen.de,Nordrhein-Westfalen,Leverkusen,0214 / 310870,https://www.kgs-dönhoffstr.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Friedensreich-Hundertwasser-Schule,info@hundertwasserschule-nv.de,Nordrhein-Westfalen,/ 4206,,https://www.hundertwasserschule-nv.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Städt. Montessori-Grundschule Reumontstraße,mont-ggs.reumontstr@mail.aachen.de,Nordrhein-Westfalen,Aachen,0241 / 49328,https://www.montessorischule-reumontstrasse.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Montessori-Schule Münster e.V.,info@montessori-muenster.de,Nordrhein-Westfalen,Münster,0251 / 6097060,https://www.montessori-muenster.org,LV NRW (montessori-landesverband-nrw.de),Grundschule
Städt. Montessori-Grundschule Hauptstandort,montessori-gs@arcor.de,Nordrhein-Westfalen,/ 54984-0,,https://www.ggs-montessori.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Montessori Zentrum Niederrhein,info@montessori-niederrhein.de,Nordrhein-Westfalen,/ 9484750,,https://montessori-zentrum-niederrhein.de,LV NRW (montessori-landesverband-nrw.de),Grundschule
Albert-Schweitzer-SchuleStädt. Förderschule,Albert-Schweitzer-Schule@stadt-muenster.de,Nordrhein-Westfalen,,,,LV NRW (montessori-landesverband-nrw.de),Weiterführende Schule
Cecilien-Gymnasium Düsseldorf,gy.schorlemerstr@schule.duesseldorf.de,Nordrhein-Westfalen,,,,LV NRW (montessori-landesverband-nrw.de),Weiterführende Schule
Max-Planck Gymnasium,gy.koetschaustr@duesseldorf.de,Nordrhein-Westfalen,,,,LV NRW (montessori-landesverband-nrw.de),Weiterführende Schule
Gymnasium am Geroweiher,165049@schule.nrw.de,Nordrhein-Westfalen,,,,LV NRW (montessori-landesverband-nrw.de),Weiterführende Schule
Montessori-Gesamtschule Borken,gesamtschule@montessori-borken.de,Nordrhein-Westfalen,,,,LV NRW (montessori-landesverband-nrw.de),Weiterführende Schule
Bischöfliche Maria-Montessori-Gesamtschule,sekretariat@bmmg-krefeld.de,Nordrhein-Westfalen,,,,LV NRW (montessori-landesverband-nrw.de),Weiterführende Schule
Kurt-Tucholsky-Gesamtschule,191024@schule.nrw.de,Nordrhein-Westfalen,,,,LV NRW (montessori-landesverband-nrw.de),Weiterführende Schule
Schloss Hagerhof,info@hagerhof.de,Nordrhein-Westfalen,,,,LV NRW (montessori-landesverband-nrw.de),Weiterführende Schule
Freie Schule für lebendiges Lernen,info@schulwerkstatt.com,Baden-Württemberg,Altenriet,07127-925993,https://schulwerkstatt.info,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Internationaler Montessori Kindergarten,imk@montessori-esslingen.de,Baden-Württemberg,Esslingen,+497113515634,https://montessori-esslingen.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Wiehremer Montessori Kindergarten,info@monti-kiga.de,Baden-Württemberg,Freiburg,0761/702489,https://montessori-integration-kiga.de/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori Kinderhaus Zähringen,kontakt@montessori-zaehringen.de,Baden-Württemberg,Freiburg im Breisgau,,https://montessori-zaehringen.de/aktuelles/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Kinderhaus im Familienzentrum Gehenbühl,info@familientreff-gerlingen.de,Baden-Württemberg,Gerlingen,07156/ 49 41 0,https://www.familientreff-gerlingen.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori Kinderhaus am Turm,kinderhaus@montessori-heidelberg.de,Baden-Württemberg,Heidelberg,,https://www.montessori-heidelberg.de/index.php/kindergarten/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori Grundschule und Gemeinschaftsschule,info@montessori-heidelberg.de,Baden-Württemberg,"Heidelberg, Neckar",0 62 21 / 43 56 00,https://www.montessori-heidelberg.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori Kinderhaus im Zentrum,kinderhaus@montessori-heidelberg.de,Baden-Württemberg,"Heidelberg, Neckar",,https://www.montessori-heidelberg.de/index.php/krippe/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
ASB Montessori-Kinderhaus,info@asb-heilbronn.de,Baden-Württemberg,Heilbronn,+49713197390,https://www.asb-heilbronn.de/de-de/leistungen/kindergarten/montessori-kinderhaus-in-heilbronn,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Evangelische Jakobusschule Karlsruhe,info@ejska.de,Baden-Württemberg,Karlsruhe,07219144690,https://www.jakobusschule-karlsruhe.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Kinderhaus Karlsruhe,info@montessori-kinderhaus.de,Baden-Württemberg,Karlsruhe,0721 / 75 60 32,https://www.montessori-kinderhaus.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori Kinderhaus,vorstand@montessori-konstanz.de,Baden-Württemberg,Konstanz,07531/73302,https://www.montessori-konstanz.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Krippe,vorstand@montessori-konstanz.de,Baden-Württemberg,Konstanz,07531/73302,https://www.montessori-konstanz.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Lernatelier – Freie Grundschule Kraichtal,info@lernatelier-ev.com,Baden-Württemberg,Kraichtal,,https://lernatelier-ev.com/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Zentrum Ortenau - Gemeinschaftsschule,info@mz-o.de,Baden-Württemberg,Offenburg,,https://montessori-offenburg.de/gemeinschaftsschule/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Zentrum Ortenau - Kinderhaus,info@mz-o.de,Baden-Württemberg,Offenburg,,https://montessori-offenburg.de/kinderhaus/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Zentrum Ortenau - Krippe,info@mz-o.de,Baden-Württemberg,Offenburg,,https://montessori-offenburg.de/krippe/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Zentrum Ortenau - Schule,info@mz-o.de,Baden-Württemberg,Offenburg,,https://montessori-offenburg.de/grundschule/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
"Integratives Kinderhaus ""Maria Montessori""",info@montessori-ottersweier.de,Baden-Württemberg,Ottersweier,07223 901456,http://www.montessori-ottersweier.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori Kinderhaus am Sonnenrain,post@montessori-radolfzell.de,Baden-Württemberg,Radolfzell,,https://www.montessori-radolfzell.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Kinderkrippe il Nido,post@montessori-radolfzell.de,Baden-Württemberg,Radolfzell am Bodensee,,https://www.montessori-radolfzell.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Casa Elisa Kindertagesstätte,julian.schwegler@st-elisabeth-stiftung.de,Baden-Württemberg,Ravensburg,+49 (0) 751 9771238 10,https://www.st-elisabeth-stiftung.de/kinder-und-jugendliche/kindergaerten/casa-elisa-kindertagesstaette/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
7 Freunde Großtagespflege,info@7freun.de,Baden-Württemberg,Rheinstetten,+4972148690536,https://www.7freun.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Integrative Montessori-Schule Sasbach,markewitz@montessori-sasbach.de,Baden-Württemberg,Sasbach,,https://www.montessori-sasbach.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Kinderhaus,info@montessori-hall.de,Baden-Württemberg,Schwäbisch Hall,+4979156360,https://montessori-hall.de/informationen/kinderhaus/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Kindernest,info@montessori-hall.de,Baden-Württemberg,Schwäbisch Hall,+4979156360,https://montessori-hall.de/einrichtungen/kindernest/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Sinnesreich Montessori Kinderhaus,info@kita-sinnesreich.de,Baden-Württemberg,Singen,,https://www.kita-sinnesreich.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori Kinderhaus St. Johann,info@montessori-stjohann.de,Baden-Württemberg,St. Johann,,https://www.montessori-stjohann.de/unser-kinderhaus/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori Kindergarten Stuttgart,mail@montessori-stuttgart.de,Baden-Württemberg,Stuttgart,,https://www.montessori-stuttgart.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori Kinderhaus Feuerbach,info@montessori-feuerbach.de,Baden-Württemberg,Stuttgart,0711 / 6741508,https://www.montessori-feuerbach.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori Kinderhaus Stuttgart-Mitte,kontakt@montessori-s-mitte.de,Baden-Württemberg,Stuttgart,,https://www.montessori-s-mitte.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Kinderhaus Weilimdorf,kinderhaus@montessori-weilimdorf.de,Baden-Württemberg,Stuttgart,0711 889 21 20,http://www.montessori-weilimdorf.de/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Schule Illertal,info@montessori-illertal.de,Baden-Württemberg,Tannheim,+498395911288,https://www.montessori-illertal.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Kinderhaus Dichterviertel,eselsberg@montessori-ulm.de,Baden-Württemberg,"Ulm, Donau",+49 731 9807867,https://www.montessori-ulm.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori Kinderhaus am Eselsberg,eselsberg@montessori-ulm.de,Baden-Württemberg,"Ulm, Donau",+49 731 9807867,https://www.montessori-ulm.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Kinderhaus,kontakt@montessori-waiblingen.de,Baden-Württemberg,Waiblingen,+497151908037,https://www.montessori-waiblingen.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Freie Montessori Naturschule,montessori-naturschule@gmx.de,Baden-Württemberg,"Winnenden, Württ",,https://montessori-naturschule.jimdosite.com/,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Freie Aktive Montessori-Schule Kraichgau,info@montessori-lernwerk.de,Baden-Württemberg,Zuzenhausen,06226-554740,https://www.montessori-lernwerk.de,Montessori Deutschland Verzeichnis (LV Baden-Württemberg),
Montessori-Kinderhaus Blumenwiese,tessa.wagner@montessori-kassel.de,Hessen,Ahnatal,,https://www.montessori-kassel.de,Montessori Deutschland Verzeichnis (LV Hessen),
Freie Montessori Schule Darmstadt,info@montessori-darmstadt.de,Hessen,Darmstadt,06151-601 44 40,https://montessori-darmstadt.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Kinderhaus Dietzenbach,neu-isenburg@montessori-dietzenbach.de,Hessen,Dietzenbach,+4960749141050,https://www.montessori-campus.de/einrichtungen/kinderhaus/team-kinderhaus-dietzenbach/,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Schule Dietzenbach,neu-isenburg@montessori-dietzenbach.de,Hessen,Dietzenbach,+4960749141050,https://www.montessori-campus.de/einrichtungen/schule/,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kinderhaus der Anna-Schmidt-Schule,info@anna-schmidt-schule.de,Hessen,Frankfurt,+49699550050,https://www.anna-schmidt-schule.de,Montessori Deutschland Verzeichnis (LV Hessen),
Nido der International Bilingual Montessori School,office@ibms-frankfurt.com,Hessen,Frankfurt,,https://www.ibms-frankfurt.com,Montessori Deutschland Verzeichnis (LV Hessen),
Grundschule der International Bilingual Montessori School,office@ibms-frankfurt.com,Hessen,Frankfurt am Main,,https://www.ibms-frankfurt.com,Montessori Deutschland Verzeichnis (LV Hessen),
Kinderhaus der International Bilingual Montessori School,office@ibms-frankfurt.com,Hessen,Frankfurt am Main,,https://www.ibms-frankfurt.com,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Kinderzentrum,info@montessori-kinderzentrum.de,Hessen,Frankfurt am Main,,https://montessori-kinderzentrum.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Grundschule der Anna-Schmidt-Schule,info@anna-schmidt-schule.de,Hessen,Frankfurt am Main,+49699550050,https://www.anna-schmidt-schule.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Sekundarschule Wetterau,sekretariat@msw-friedberg.de,Hessen,Friedberg (Hessen),06031-168990,https://www.msw-friedberg.de,Montessori Deutschland Verzeichnis (LV Hessen),
Integratives Montessori-Kinderhaus und Familienzentrum St. Martin,kita.st.martin@skf-giessen.de,Hessen,Gießen,+496412001-800,https://www.skf-giessen.de/einrichtungen-und-dienste/kitas-und-familienzentren/integratives-montessori-kinderhaus/,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Kinderhaus Hanau,info@montessori-hanau.de,Hessen,Hanau,,https://www.montessori-hanau.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Schule Hanau,info@montessori-hanau.de,Hessen,Hanau,,https://www.montessori-hanau.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kinderhaus Hofheim (3-6 Jahre),info@montessori-hofheim.de,Hessen,Hofheim,06192-309210,https://www.montessori-hofheim.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Schule Hofheim,info@montessori-hofheim.de,Hessen,Hofheim,06192-309210,https://www.montessori-hofheim.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kinderhaus Hofheim (Nest),info@montessori-hofheim.de,Hessen,Hofheim am Taunus,06192/309213,https://www.montessori-hofheim.de/kinderhaus/montessori-nest,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Schule Homberg (Efze) genehmigte Grundschule mit Förderstufe und IGS,info@montessori-homberg-efze.de,Hessen,Homberg (Efze),015238707564,https://montessori-homberg-efze.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Schule Homberg (Efze) Sekundarstufe 1 genehmigte Grundschule mit Förderstufe und IGS,info@montessori-homberg-efze.de,Hessen,Homberg (Efze),015238707564,https://montessori-homberg-efze.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Haus der Kinder (Kindergarten),info@famformatis.de,Hessen,Idstein,,https://www.kinderhaus-idstein.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Haus der Kinder (Krippe),info@famformatis.de,Hessen,Idstein,,https://www.kinderhaus-idstein.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Schule Idstein,info@montessori-idstein.de,Hessen,Idstein,06126226083,https://www.montessori-idstein.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Kinderhaus Karben,info@montessori-karben.de,Hessen,Karben,,https://www.montessori-karben.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kinderhaus Arche,tessa.wagner@montessori-kassel.de,Hessen,Kassel,,https://www.montessori-kassel.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kinderhaus Dönchewichtel,tessa.wagner@montessori-kassel.de,Hessen,Kassel,,https://www.montessori-kassel.de/,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kinderhaus Elfenhain,tessa.wagner@montessori-kassel.de,Hessen,Kassel,,https://www.montessori-kassel.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kinderhaus Leonardo,tessa.wagner@montessori-kassel.de,Hessen,Kassel,,https://www.montessori-kassel.de/,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kinderhaus Sonnenschein,lukas.wagner@montessori-kassel.de,Hessen,Kassel,,https://www.montessori-kassel.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kinderhaus Zita,lukas.wagner@montessori-kassel.de,Hessen,Kassel,,https://www.montessori-kassel.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Schule Kassel,lukas.wagner@montessori-kassel.de,Hessen,Kassel,,https://www.montessori-kassel.de,Montessori Deutschland Verzeichnis (LV Hessen),
kinder(t)räume Monte Pikolino,buero@kindertraeume-online.org,Hessen,Kriftel,,https://www.kindertraeume-online.org/kinder-t-r%C3%A4ume-monte-pikolino,Montessori Deutschland Verzeichnis (LV Hessen),
kinder(t)räume Montessori Kinderhaus,buero@kindertraeume-online.org,Hessen,Kriftel,,https://www.kindertraeume-online.org/kinder-t-r%C3%A4ume-montessori-kinderhaus,Montessori Deutschland Verzeichnis (LV Hessen),
