School,Email,Region,Suburb,City,Phone,Website,Membership
Baobab Montessori Pre and Primary School Hoedspruit,baobabprim@gmail.com,Limpopo,Hoedspruit,Hoedspruit,073 404 4703,NotApplicableSAMA2026-03-09T11:50:10+02:00SAMASchools,Conditional Full Level Membership
Montessori Country Kids,admin@montessoricountrykids.co.za,North West,Schoemansville,Hartbeespoort,082 923 6886,www.montessoricountrykids.co.zaSAMA2026-02-11T13:04:26+02:00SAMASchools,Initiate
Montessori Mafikeng,montessorimafikeng@gmail.com,North West,Mafikeng,Mafikeng,(018) 007 5813,NotApplicableSAMA2026-05-04T10:50:07+02:00SAMASchools,Initiate
Tsibogang Lomanyane ELC,rgmogokonyane@gmail.com,North West,Mafikeng,Mafikeng,065 568 7324,www.tsibogang.orgSAMA2026-03-25T14:16:50+02:00SAMASchools,Initiate
Tsibogang Magogoe ELC,rgmogokonyane@gmail.com,North West,Mafikeng,Mafikeng,065 568 7324,www.tsibogang.orgSAMA2026-03-25T14:17:15+02:00SAMASchools,Initiate
St Marcel Academy,info@stmarcel.net,DR Congo,Quartier Golf,Haut Katanga,+243 829 709 605,www.stmarcel.netSAMA2025-06-25T08:46:16+02:00SAMASchools,Initiate
Explorers Schools,kamilla@explorersschoolsgh.com,Ghana,East Cantonments,Accra,+233 2423 10225,www.littleexplorersmontessori.comSAMA2025-02-10T14:46:10+02:00SAMASchools,Initiate
The College of Montessori for Children,admissions@collegemontessori.org,Lesotho,Maseru,Maseru,+26 65 840 6389,www.collegemontessori.orgSAMA2026-03-24T15:03:39+02:00SAMASchools,Initiate
Little Sprouts Montessori Private School,littlesproutschool@gmail.com,Namibia,Ondangwa,Ondangwa,+264 65 5659,www.littlesproutsps.educationSAMA2024-02-13T12:26:37+02:00SAMASchools,Initiate
Imbali Montessori,imbalimontessori@gmail.com,Swaziland,Swaziland,Malkerns,26 825 283 177,www.imbalimontessori.comSAMA2024-02-27T11:44:28+02:00SAMASchools,Initiate
