org_name,country,city,website,email,facebook_url,instagram_url,followers_estimate,social_strength,org_type,schools_reached_estimate,montessori_related,dup_of_master,notes,source_file,montessori_fit,fit_reason
Fe y Alegria Bolivia,Bolivia,"La Paz (national, 9 depts)",feyalegria.org/bolivia,,facebook.com/feyalegriabolivia,instagram.com/feyalegriabolivia,18157,6,network,,no,no,"398 centers, 174,000 students; indigenous/rural early-childhood (Educacion Inicial en Familia Comunitaria)",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — 398 centers, 174,000 students; indigenous/rural early-childhood (Educacion Inicial en Familia Comunitaria)"
Casa Favela (Favela em Desenvolvimento),Brazil,Rio de Janeiro (Alto da Boa Vista),favelaemdesenvolvimento.org,,facebook.com/casafavelarj,instagram.com/casafavela,10000,6,single_school,,no,no,Community/education hub serving early-childhood through young adults in a favela; iFood-supported,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Community/education hub serving early-childhood through young adults in a favela; iFood-supported
Instituto Fazendo Historia,Brazil,Sao Paulo (national),fazendohistoria.org.br,,facebook.com/instituto.fazendohistoria,instagram.com/institutofazendohistoria,37000,6,ngo_program,,no,no,"Dedicated to Brazil's ~47,000 institutionalized/orphaned children; mentorship + staff training",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Dedicated to Brazil's ~47,000 institutionalized/orphaned children; mentorship + staff training"
Fundacion Cristo Vive,Chile,"Recoleta / Renca / La Pintana / Lampa, Santiago",fcristovive.cl,contacto@fundacioncristovive.cl,facebook.com/cristovivefundacion,instagram.com/fundacion_cristo_vive_chile,17000,6,ngo_program,,yes,no,"7 free full-Montessori kindergartens in vulnerable Santiago sectors, 880+ children daily",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — 7 free full-Montessori kindergartens in vulnerable Santiago sectors, 880+ children daily"
Have Faith Haiti,Haiti,Port-au-Prince,havefaithhaiti.org,info@havefaithhaiti.org,facebook.com/havefaithhaiti,instagram.com/havefaithhaiti,4000,6,single_school,,no,no,"Orphanage + school for impoverished/orphaned children, run by A Hole in the Roof Foundation",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Orphanage + school for impoverished/orphaned children, run by A Hole in the Roof Foundation"
Fe y Alegria Dominicana,Dominican Republic,Santo Domingo (national),feyalegria.org.do,,,,,6,network,,no,no,"63-65 subsidized schools nationwide incl. educacion inicial classrooms, 35+ yrs operating",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — 63-65 subsidized schools nationwide incl. educacion inicial classrooms, 35+ yrs operating"
Federación Internacional de Fe y Alegría,Colombia,Bogotá,https://www.feyalegria.org/,,https://www.facebook.com/FeyAlegriaFI/,https://www.instagram.com/feyalegriave/,Venezuela chapter FB 17K; international federation FB page separate,6,network,"22 countries across Latin America + Chad; 81,000 students in Peru alone; hundreds of thousands system-wide",no,no,MASSIVE Jesuit-run network of schools for the poor across Latin America (est. 1955) - church/state covenant schools; single most impactful multiplier by reach found in this sweep even though FB numbers are modest per-country,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — MASSIVE Jesuit-run network of schools for the poor across Latin America (est. 1955) - church/state covenant…
Kiron Open Higher Education,Germany,Berlin,https://www.kiron.ngo/,,https://www.facebook.com/KironOpenHigherEducation/,,"FB 58,411 likes",6,network,"73,000+ refugee learners enrolled globally",no,no,Free blended-learning higher-ed platform for refugees; partnerships with universities worldwide,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Free blended-learning higher-ed platform for refugees; partnerships with universities worldwide
Kakenya's Dream,Kenya,Enoosaen (Narok County) / Arlington VA (US office),https://kakenyasdream.org/,,https://www.facebook.com/kakenyasdream/,https://www.instagram.com/kakenyasdream/,"FB 22,973 likes",6,ngo_program,"725 girls at boarding Centers for Excellence; Health & Leadership program reached 19,000 youth across 132 schools",no,no,Rural Maasai girls' education + anti-FGM/anti-child-marriage org founded by Dr. Kakenya Ntaiya,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Rural Maasai girls' education + anti-FGM/anti-child-marriage org founded by Dr. Kakenya Ntaiya
Magic Bus India Foundation,India,Mumbai,https://www.magicbus.org/,,https://www.facebook.com/magicbusindia/,https://www.instagram.com/magic.bus/,"FB 57,217 likes; IG 18K",6,network,national (India) youth-skilling + underserved-community education since 1999,no,no,Sport-for-development + life-skills education model moving youth out of poverty; strong social presence,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Sport-for-development + life-skills education model moving youth out of poverty; strong social presence
Kliptown Youth Program (KYP / SKY),South Africa,Soweto (Kliptown),https://www.kliptownyouthprogram.org.za/,,https://www.facebook.com/kliptownyouthprogram/,https://www.instagram.com/kliptownyouthprogram/,"FB 16K; IG 1,803",5,single_school,,no,no,"Community-based educational org providing holistic support (education, feeding, sport, computer lab) to children/youth of Kliptown informal settlement, Soweto",underpriv-africa-me-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Community-based educational org providing holistic support (education, feeding, sport, computer lab) to…"
Ndlovu Care Group,South Africa,"Groblersdal / Sekhukhune District, Limpopo",https://ndlovucaregroup.co.za/,,https://www.facebook.com/ndlovucares/,,"FB 13,787 likes",5,network,,no,no,"NPO running healthcare, childcare (incl. ECD/preschool) and youth development across rural Limpopo communities",underpriv-africa-me-jul12.csv,NOT,"No Montessori affiliation; runs its own model — NPO running healthcare, childcare (incl. ECD/preschool) and youth development across rural Limpopo communities"
Multi Aid Programs (MAPs),Lebanon,Bekaa Valley,https://www.map-lb.org/,,,,"Reach reported 500,000+ people; no confirmed follower count",5,network,,no,no,"Founded 2013/2016 by a Syrian neurosurgeon; non-formal education, health care and community services for Syrian refugees + vulnerable Lebanese; large-scale operation",underpriv-africa-me-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Founded 2013/2016 by a Syrian neurosurgeon; non-formal education, health care and community services for…"
BRAC Play Labs (East Africa),Uganda,Kampala (also Tanzania),https://www.bracusa.org/solutions/development/education-youth/early-childhood-development-education/,,,,Parent org BRAC is a major global NGO brand; specific Play Labs page followers not found,5,network,,no,no,"Play-based early learning centers ages 3-5; 22,000+ children reached via 15 Play Labs in Uganda alone; 500,000+ children across Bangladesh/Tanzania/Uganda since 2015; award-winning model (HundrED)",underpriv-africa-me-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Play-based early learning centers ages 3-5; 22,000+ children reached via 15 Play Labs in Uganda alone;…"
Mobile Creches (Delhi),India,Delhi NCR,mobilecreches.org,mail@mobilecreches.org,facebook.com/crechesmobile,instagram.com/mobilecreches,2900,5,ngo_program,,no,no,"Founded 1969; 44 daycare centres for construction-worker children, ~14,000 children/yr",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Founded 1969; 44 daycare centres for construction-worker children, ~14,000 children/yr"
Akshara Foundation,India,Bengaluru,akshara.org.in,info@akshara.org.in,facebook.com/aksharadotorg,instagram.com/aksharadotorg,6999,5,ngo_program,,no,no,"Balwadi preschool program + ECD centres; 700,000+ children reached in Karnataka since 2000",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Balwadi preschool program + ECD centres; 700,000+ children reached in Karnataka since 2000"
Deepalaya,India,New Delhi (+ Kolkata branch),deepalaya.org,deepalaya_wb_ngo@yahoo.co.in,facebook.com/Deepalaya,instagram.com/deepalayango,10879,5,network,,no,no,"Largest operational NGO in Delhi NCR; preschools + schools for slum children, 270,000+ children reached",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Largest operational NGO in Delhi NCR; preschools + schools for slum children, 270,000+ children reached"
Bahay Tuluyan Foundation,Philippines,"Malate, Manila",bahaytuluyan.org,info@bahaytuluyan.org,facebook.com/BahayTuluyanPhilippines,instagram.com/bahaytuluyan,10738,5,ngo_program,,no,no,"Drop-in centers + street outreach van, alternative education, 12,000+ street children reached in 2 years",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Drop-in centers + street outreach van, alternative education, 12,000+ street children reached in 2 years"
ISCO Foundation (Indonesian Street Children Org),Indonesia,"Jakarta, Depok, Surabaya, Medan",iscofoundation.or.id,isco@iscofoundation.org,facebook.com/iscofoundation,instagram.com/iscofoundation,2830,5,ngo_program,,no,no,"Preschool program keeping at-risk kids off streets; 2,200+ children across 28 areas since 1999",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Preschool program keeping at-risk kids off streets; 2,200+ children across 28 areas since 1999"
Bali Children Foundation,Indonesia,"Kerobokan/Denpasar, Bali",balichildrenfoundation.org,info@balichildrenfoundation.org,facebook.com/BaliChildrenFoundation,instagram.com/balichildrenfoundation,,5,network,,no,no,"Education to Employment model, Bali-wide, includes early-childhood support",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Education to Employment model, Bali-wide, includes early-childhood support"
People Improvement Organization (PIO),Cambodia,Phnom Penh,peopleimprovement.org,info@peopleimprovement.org,facebook.com/pio.cambodia,,12000,5,ngo_program,,no,no,Founded 2002 in former Stung Meanchey dumpsite area; schooling incl. early learning for waste-picker families,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Founded 2002 in former Stung Meanchey dumpsite area; schooling incl. early learning for waste-picker families
Duang Prateep Foundation,Thailand,Bangkok (Khlong Toey),dpf.or.th,dpf_found@hotmail.com,facebook.com/endpforth,instagram.com/duangprateep.eng,1400,5,network,,no,no,Founded 1978 by Magsaysay Award winner; preschools + homes for vulnerable children in Khlong Toey slum,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Founded 1978 by Magsaysay Award winner; preschools + homes for vulnerable children in Khlong Toey slum
SUKA Society,Malaysia,Petaling Jaya,sukasociety.org,enquiry@sukasociety.org,facebook.com/SukaSociety,,20300,5,ngo_program,,no,no,Empowered 2 Teach trains Orang Asli community members as preschool teachers in remote villages,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Empowered 2 Teach trains Orang Asli community members as preschool teachers in remote villages
Ba Futuru,Timor-Leste,Dili,bafuturu.org,bafuturu@bafuturu.org,facebook.com/BaFuturu,,12000,5,ngo_program,,partial,no,Runs own preschool (ages 2-6) with child-centered/social-emotional pedagogy; active in all 13 municipalities,underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Runs own preschool (ages 2-6) with child-centered/social-emotional pedagogy; active in all 13 municipalities"
Fe y Alegria Guatemala,Guatemala,Guatemala City,feyalegria.org.gt,,facebook.com/FeyAlegriaGUA,,,5,network,,no,no,"Started in La Limonada slum; now serves 16,000+ children under person-centered pedagogy",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Started in La Limonada slum; now serves 16,000+ children under person-centered pedagogy"
Xela AID / Local Hope,Guatemala,"San Martin Chiquito, near Quetzaltenango",xelaaid.org,,facebook.com/XelaAID,instagram.com/xela.aid,,5,ngo_program,,yes,no,30+ yr NGO in indigenous poverty-belt; Montessori preschool for up to 90 children/yr,underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — 30+ yr NGO in indigenous poverty-belt; Montessori preschool for up to 90 children/yr
ANIFU (Asociacion Ninez con Futuro),Guatemala,Chimaltenango / Santa Catarina Pinula,orphanoutreach.org,,facebook.com/ANIFUGUA,,5078,5,ngo_program,,yes,no,"Montessori classrooms for low-income families, est. 2008 by US-based Orphan Outreach",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Montessori classrooms for low-income families, est. 2008 by US-based Orphan Outreach"
Projeto Uere,Brazil,Rio de Janeiro (Complexo da Mare favela),projetouere.org.br,,,instagram.com/projetouereoficial,5700,5,single_school,,no,no,"Trauma-informed pedagogy, UNICEF-praised; serves 430 children/youth ages 6-18 in favela complex",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Trauma-informed pedagogy, UNICEF-praised; serves 430 children/youth ages 6-18 in favela complex"
Casa da Crianca e do Adolescente de Santo Amaro,Brazil,"Sao Paulo (Santo Amaro, 5 units)",casadacriancasantoamaro.org.br,,facebook.com/CasaDaCriancaEDoAdolecenteSantoAmaroGrossarl,instagram.com/casadacriancasantoamaro,6500,5,ngo_program,,no,no,"40+ yr orphanage/shelter network + after-school centers, 200+ places in Sao Paulo's Zona Sul",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — 40+ yr orphanage/shelter network + after-school centers, 200+ places in Sao Paulo's Zona Sul"
Friends of Matenwa,Haiti,Lagonav (La Gonave) Island,matenwa.org,Matenwa3@gmail.com,,,,5,single_school,,partial,no,"~350 students, child-centered/discovery pedagogy in Haitian Creole, ~30-yr rural community school",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — ~350 students, child-centered/discovery pedagogy in Haitian Creole, ~30-yr rural community school"
Kids Alive Dominican Republic,Dominican Republic,Santo Domingo (network),kidsalivedr.com,kidsalive@kidsalive.org,facebook.com/kidsalivedr,instagram.com/kidsalivedr,1688,5,network,,no,no,"7 schools + 3 residential campuses, 30+ yrs (verify: reportedly transitioning to Seed to Sower Ministries)",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — 7 schools + 3 residential campuses, 30+ yrs (verify: reportedly transitioning to Seed to Sower Ministries)"
Kidogo,Kenya,Nairobi,https://www.kidogo.co/,,https://www.facebook.com/KidogoECD/,,"FB 15,760 likes",5,network,"largest childcare network in Kenya - 56,000+ children/day",partial,no,"Hub-and-spoke early-childhood social franchise for East African low-income informal settlements; early-childhood-education adjacent, not Montessori-branded but philosophically aligned",underpriv-global-networks-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Hub-and-spoke early-childhood social franchise for East African low-income informal settlements;…"
Educate Girls,India,Mumbai,https://www.educategirls.ngo/,,https://www.facebook.com/educategirls/,https://www.instagram.com/educategirlsngo/,IG 31K; FB count unclear (2nd Facebook decoy page 'Educate India' only 70 followers - do not confuse),5,network,"285,237 out-of-school girls (6-14) re-enrolled; 181,251 children improved literacy/numeracy",no,no,First Indian org to win the 2025 Ramon Magsaysay Award; village-volunteer model across rural India,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — First Indian org to win the 2025 Ramon Magsaysay Award; village-volunteer model across rural India
CRY - Child Rights and You,India,Mumbai,https://www.cry.org/,,https://www.facebook.com/CRYINDIA/,https://www.instagram.com/cry_india/,"large org, exact FB count not captured this sweep",5,network,102 local partner NGOs across 19 Indian states; 4.7M+ children impacted historically,no,no,"Umbrella funder/network model - partners with local NGOs rather than running schools directly, a possible multiplier route",underpriv-global-networks-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Umbrella funder/network model - partners with local NGOs rather than running schools directly, a possible…"
Consortium for Street Children (CSC),United Kingdom,London,https://www.streetchildren.org/,info@streetchildren.org,https://www.facebook.com/consortiumforstreetchildren,https://www.instagram.com/consortiumforstreetchildren/,not captured this sweep,5,network,200+ member organisations across 111 countries,no,no,THE global street-children umbrella network - a single partnership could fan out to 200+ frontline orgs worldwide; email confirmed live on site,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — THE global street-children umbrella network - a single partnership could fan out to 200+ frontline orgs…
Educateurs sans Frontières (EsF) / AMI,Netherlands,Amsterdam (AMI HQ),https://montessori-esf.org/,info@montessori-esf.org,https://www.facebook.com/educateurssansfrontieres/,,not captured this sweep,5,network,"dozens of EsF-branded projects across Africa/Asia/Latin America/Caribbean (Kenya, Ethiopia, Thailand, Haiti, Mexico, India, UK prisons, US, Australia, etc.)",yes,yes,"THE central AMI social-justice division - extensively already present in Montree's master CSV as the umbrella behind ~15+ individual disadvantaged-school rows (Corner of Hope, Nomadic Samburu, Peter Hesse Foundation, UPAVIM, Horme, CoRE India/Thailand, Lumin, Family Star, Crossway, MCM, MCF, INE, Born Inside/MMI). Re-listing the umbrella itself here for the networks layer.",underpriv-global-networks-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — THE central AMI social-justice division - extensively already present in Montree's master CSV as the umbrella…
Kayany Foundation - The Ghata Project,Lebanon,Beirut / Bekaa Valley refugee camps,https://www.kayany-foundation.org/,,https://www.facebook.com/kayanyfoundation/,https://www.instagram.com/kayanyfoundation/,"FB 8,541 likes; IG 2,389",4,network,,no,no,"Est. 2013; 4 portable 'Ghata' schools in Bekaa Valley informal tented settlements serving 3,500 Syrian refugee students ages 6-18, plus 2 girls' secondary/vocational schools",underpriv-africa-me-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Est. 2013; 4 portable 'Ghata' schools in Bekaa Valley informal tented settlements serving 3,500 Syrian…"
Karam Foundation,"Turkey / Syria (diaspora-run, US HQ)",Reyhanli/Gaziantep border region + Chicago HQ,https://karamfoundation.org/,,,https://www.instagram.com/karam_foundation/,IG 11K,4,ngo_program,,no,no,"Innovative Education programs for Syrian refugee youth (incl. young children) along Turkey-Syria border; also Smart Aid + Sustainable Development projects; 3,000+ youth served",underpriv-africa-me-jul12.csv,NOT,No Montessori affiliation; runs its own model — Innovative Education programs for Syrian refugee youth (incl. young children) along Turkey-Syria border; also…
Justice Rising,DR Congo,Goma / North Kivu,https://www.justicerising.org/,,,https://www.instagram.com/justice_rising/,"IG 7,037",4,network,,no,no,"Owns/operates a private network of 23 schools serving 4,000+ students in conflict-affected eastern DRC (North Kivu); focus on safe schools + motivated teachers in one of the world's hardest education contexts",underpriv-africa-me-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Owns/operates a private network of 23 schools serving 4,000+ students in conflict-affected eastern DRC (North…"
Missions of Hope International (MOHI),Kenya,Nairobi (Mathare Valley origin; now multi-slum + rural),https://mohiafrica.org/,,https://www.facebook.com/MoHiAfrica/,,"Facebook page active, follower count not confirmed in snippet",4,network,,no,no,"Christian holistic org started in Mathare slum; now runs schools across Nairobi's informal settlements + remote rural Kenya; education, health, economic empowerment programs",underpriv-africa-me-jul12.csv,NOT,No Montessori affiliation; runs its own model — Christian holistic org started in Mathare slum; now runs schools across Nairobi's informal settlements +…
Moroccan Foundation for Preschool Education (FMPS),Morocco,"Rabat (national programs incl. Casablanca-Settat, Marrakech-Safi)",https://fmps.ma/en/acceuil-english/,,,,Not confirmed in snippets,4,network,,no,no,"Public-utility non-profit; jointly with Zakoura Foundation ran one of the largest preschool expansions in Morocco, reaching rural/disadvantaged communities; won 2025 Khalifa Education Award (Early Childhood category)",underpriv-africa-me-jul12.csv,NOT,No Montessori affiliation; runs its own model — Public-utility non-profit; jointly with Zakoura Foundation ran one of the largest preschool expansions in…
Girls' Education South Sudan (GESS),South Sudan,Juba,https://girlseducationsouthsudan.org/,,,,Not confirmed in snippets,4,ngo_program,,no,no,UK Aid-backed flagship program aiming to transform education access for a generation of South Sudanese children incl. girls in early grades,underpriv-africa-me-jul12.csv,NOT,No Montessori affiliation; runs its own model — UK Aid-backed flagship program aiming to transform education access for a generation of South Sudanese…
Jusoor - Seeds of Light Early Childhood Program,Lebanon,Beqaa Valley (Jurahiya Center),https://www.jusoor.ngo/our-work/early-childhood-education,,,,Not confirmed,4,ngo_program,,no,no,Multi-year whole-child early education program for Syrian refugee children ages 3-5 at the Jurahiya Center in the Beqaa Valley; part of a larger established Syrian-diaspora education org,underpriv-africa-me-jul12.csv,NOT,No Montessori affiliation; runs its own model — Multi-year whole-child early education program for Syrian refugee children ages 3-5 at the Jurahiya Center in…
Aseema Charitable Trust,India,Mumbai,aseema.org,contact@aseema.org,facebook.com/p/Aseema-Charitable-Trust-100064472120838,instagram.com/aseema_charitable_trust,2662,4,ngo_program,,yes,no,"Runs Montessori-method classrooms for slum/street children inside MCGM municipal schools; ~9,000 children/yr, Bandra + tribal Igatpuri",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Runs Montessori-method classrooms for slum/street children inside MCGM municipal schools; ~9,000 children/yr,…"
Mumbai Mobile Creches,India,Mumbai,mumbaimobilecreches.org,,facebook.com/MumbaiMobileCreches,instagram.com/mumbaimobilecreches,3997,4,ngo_program,,no,no,"Daycare/education for children of construction-site migrant workers, 29 centres, 4,500+ children/yr since 1972",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Daycare/education for children of construction-site migrant workers, 29 centres, 4,500+ children/yr since 1972"
Pehli Kiran Schools,Pakistan,Islamabad (Katchi Abadi slum communities),pkschools.org,,facebook.com/PehliKiranSchools,instagram.com/pehlikiranschools,10591,4,mobile,,yes,no,"Mobile/relocatable schools that move WITH evicted slum communities; Montessori instruction, 25,000+ children since 1995",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Mobile/relocatable schools that move WITH evicted slum communities; Montessori instruction, 25,000+ children…"
Peduli Anak Foundation,Indonesia,"Lombok (Lingsar, NTB)",pedulianak.org,contact@pedulianak.org,facebook.com/pedulianak,,,4,ngo_program,,no,no,"20 yrs of family-based child welfare centers, accredited schools, health/vocational support",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — 20 yrs of family-based child welfare centers, accredited schools, health/vocational support"
Sahabat Anak,Indonesia,Jakarta,sahabatanak.org,info@sahabatanak.org,,instagram.com/sahabatanak.idn,,4,ngo_program,,no,no,"Volunteer-driven child protection; free education access, PAUD/TK, scholarships for street-vulnerable children",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Volunteer-driven child protection; free education access, PAUD/TK, scholarships for street-vulnerable children"
Karen Women's Organisation ECD Project,Thailand,Mae Ra Ma Luang & Mae La Oon refugee camps,karenwomen.org,,facebook.com/karenwomenorganization,,,4,ngo_program,,no,no,"18 nursery schools across 2 refugee camps, ages 2.8-5, ~1,500 children/yr, mother-tongue curriculum",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — 18 nursery schools across 2 refugee camps, ages 2.8-5, ~1,500 children/yr, mother-tongue curriculum"
UPAVIM Community Development Foundation,Guatemala,"La Esperanza, Guatemala City",upavim.org,,facebook.com/upavimcommunitydevelopmentfoundation,,648,4,ngo_program,,yes,no,Women's cooperative in high-poverty zone; K-6 Montessori school + infant/preschool daycare (~62 children),underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Women's cooperative in high-poverty zone; K-6 Montessori school + infant/preschool daycare (~62 children)
Nuestros Pequenos Hermanos (NPH) Guatemala,Guatemala,"Parramos, Chimaltenango",nph.org,,,,,4,ngo_program,,partial,no,Orphanage (350+ resident + 300+ scholarship children) incl. Montessori pre-K and daycare,underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Orphanage (350+ resident + 300+ scholarship children) incl. Montessori pre-K and daycare"
Fundacion Hogar Luceros del Amanecer,Nicaragua,"Camoapa, Boaco",hogarlucerosdelamanecer.org,,facebook.com/LucerosdelAmanecer,,,4,ngo_program,,no,no,"Serves 145+ vulnerable children, education/nutrition/family programs since 2004",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Serves 145+ vulnerable children, education/nutrition/family programs since 2004"
Asociacion Montessori de Mexico (AMMAC),Mexico,Mexico City (national),asociacionmontessori.mx,,,,,4,ngo_program,,yes,no,"Trains rural teachers, low-cost materials; opened Montessori schools in rural Veracruz, Guerrero, Oaxaca",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Trains rural teachers, low-cost materials; opened Montessori schools in rural Veracruz, Guerrero, Oaxaca"
Fundacion FANA,Colombia,Bogota (Suba),fundacionfana.org,,facebook.com/FundacionFANAColombia,,4313,4,ngo_program,,no,no,Protects 400+ abandoned/vulnerable children; residential capacity ~150; ICBF-registered,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Protects 400+ abandoned/vulnerable children; residential capacity ~150; ICBF-registered
Creche Comunitaria Montessori,Brazil,Rio de Janeiro (Santa Cruz + Paciencia),,,facebook.com/Crechecomunitariamontessori,instagram.com/crechemontessori,6400,4,single_school,,yes,no,Full-time Montessori daycare for ~150 children ages 1-3y11m in poverty-affected Zona Oeste,underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — Full-time Montessori daycare for ~150 children ages 1-3y11m in poverty-affected Zona Oeste
Asuncion Montessori House,Paraguay,Villa Elisa,asuncionmontessori.com,amh.montessoripy@gmail.com,facebook.com/asuncionmontessorihouse,instagram.com/amh_py,,4,single_school,,yes,no,"Founded 2011; Paraguay's pioneering sustained Montessori community, ages 3-12",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Founded 2011; Paraguay's pioneering sustained Montessori community, ages 3-12"
Maison Fortune Orphanage Foundation,Haiti,Hinche,mfofoundation.org,helpthechildren@mfofoundation.org,facebook.com/MaisonFortuneOrphanageFoundation,,1100,4,single_school,,no,no,US-registered nonprofit funding long-term care and school for 300+ children,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — US-registered nonprofit funding long-term care and school for 300+ children
Fundacion Aldeas de Paz,Dominican Republic,Santa Barbara de Samana / Las Terrenas,peacevillages.org,mail@peacevillages.org,facebook.com/AldeasDePaz,,,4,ngo_program,,partial,no,"Grassroots NGO; early-childhood learning program + disability-inclusion center, creative pedagogy",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Grassroots NGO; early-childhood learning program + disability-inclusion center, creative pedagogy"
Jamaica Basic Schools Foundation (UK),Jamaica,Kingston-area network (UK fundraising arm),jbsf.org.uk,jbsfuk@hotmail.com,facebook.com/Jamaica-Basic-Schools-Foundation-UK-339900586106087,,1227,4,ngo_program,,no,no,UK charity funding facilities/training for a network of disadvantaged Jamaican basic schools,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — UK charity funding facilities/training for a network of disadvantaged Jamaican basic schools
Undugu Society of Kenya,Kenya,Nairobi,https://undugusociety.org/,,https://www.facebook.com/undugusocietyke/,,not captured this sweep,4,ngo_program,national (Kenya) alternative-education network for street-connected children since 1973,no,no,Pioneer street-children education org in East Africa; informal-education alternative to formal schooling,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Pioneer street-children education org in East Africa; informal-education alternative to formal schooling
Ubuntu Pathways,South Africa,Gqeberha (Port Elizabeth),https://ubuntupathways.org/,,,,not captured this sweep,4,ngo_program,"2,000 children cradle-to-career in Zwide township",no,no,Internationally recognised township education+health+social model (formerly Ubuntu Education Fund); 94% of Future Leaders Program grads reach university vs 71% national,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Internationally recognised township education+health+social model (formerly Ubuntu Education Fund); 94% of…
Salaam Baalak Trust,India,Delhi/Mumbai,https://www.salaambaalaktrust.com/,,https://www.facebook.com/salaambaalaktrust/,https://www.instagram.com/salaambaalaktrustdelhi/,"Delhi FB 6.8K; Mumbai FB 3,236; IG 7.5K",4,ngo_program,Delhi-NCR + Mumbai street/working children,no,no,"Est. 1988 from Salaam Bombay! film proceeds; formal+informal education, shelters, vocational training",underpriv-global-networks-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Est. 1988 from Salaam Bombay! film proceeds; formal+informal education, shelters, vocational training"
